name,contexts,possible_values,does_support_regex,is_block_directive,description
user,main,<user> [group],false,false,User and optional group for worker processes.
worker_processes,main,auto | <number>,false,false,Number of worker processes.
pid,main,<path>,false,false,Path to PID file.
error_log,"main,http,mail,stream",<path> [level],false,false,Error log file and minimum level (debug|info|notice|warn|error|crit|alert|emerg).
worker_rlimit_nofile,main,<number>,false,false,Set RLIMIT_NOFILE for worker processes.
worker_priority,main,<number>,false,false,Set nice priority for worker processes.
worker_cpu_affinity,main,auto | <mask> ...,false,false,Bind workers to CPU cores using masks.
daemon,main,on | off,false,false,Run in the background or foreground.
master_process,main,on | off,false,false,Enable/disable master/worker mode.
pcre_jit,main,on | off,false,false,Enable JIT for PCRE regex engine.
include,any,<glob/path>,false,false,Include another config file(s).
env,main,<name>[=<value>],false,false,Pass environment variables to workers.
load_module,main,<path to module>,false,false,Dynamically load a module at startup.
thread_pool,main,<name> threads=<n> [max_queue=<n>],false,false,Configure a named thread pool for AIO.
events,main,,false,true,Events context block.
worker_connections,events,<number>,false,false,Maximum simultaneous connections per worker.
multi_accept,events,on | off,false,false,Accept multiple connections at once.
accept_mutex,events,on | off,false,false,Serialize accept() to avoid thundering herd.
accept_mutex_delay,events,<time>,false,false,Delay when waiting for accept mutex.
use,events,select | poll | kqueue | epoll | /dev/poll | eventport,false,false,Explicitly choose event method.
http,main,,false,true,HTTP context block.
server,"http,stream,mail,upstream",,false,true,Server/upstream block (context depends on parent).
location,server,[=|~|~*|^~] <prefix|regex> { ... },true,true,"Define URI-matching location; supports prefix and regex (~, ~*)."
types,"http,server,location",{ mime/type ext... } | off,false,true,Map file extensions to MIME types.
default_type,"http,server,location",<mime/type>,false,false,Default MIME type for responses without type.
client_max_body_size,"http,server,location",<size>,false,false,Maximum allowed request body size.
client_body_buffer_size,"http,server,location",<size>,false,false,Buffer size for reading client request body.
client_body_temp_path,http,<path> [level1 [level2 [level3]]],false,false,Directory for buffering large request bodies.
sendfile,"http,server,location",on | off,false,false,Enable zero-copy file transmission.
tcp_nopush,"http,server,location",on | off,false,false,Optimize packetization for sendfile.
tcp_nodelay,"http,server,location,upstream",on | off,false,false,Disable Nagle’s algorithm on keepalive connections.
keepalive_timeout,"http,server,location",<timeout> [<header_timeout>],false,false,Idle keepalive connection timeout.
keepalive_requests,"http,server,location,upstream",<number>,false,false,Max requests per keepalive connection.
send_timeout,"http,server,location",<time>,false,false,Timeout for sending response to client.
server_tokens,"http,server",on | off | build | string,false,false,Control Server header and error page version.
server_name,server,<name> ... | ~<regex>,true,false,Server names; wildcards and regex (~) supported.
listen,server,[ip]:port [ssl http2 proxy_protocol ...],false,false,Bind address/port and socket options.
root,"http,server,location",<path>,false,false,Root directory for requests.
alias,location,<path>,false,false,Map URI to a different filesystem path (location-only).
index,"http,server,location",<file> ...,false,false,Index file names for directories.
error_page,"http,server,location",<code> ... <uri>|=@named,false,false,Redirect or handle specific error codes via URI.
try_files,"server,location",<path> ... =<code>|<uri>,false,false,Check files in order and fallback to URI/code.
return,"server,location,if,stream",<code> [text] | <code> <url> | <url>,false,false,Immediately return code or redirect (http/stream).
if,"server,location",<condition> { ... },true,true,"Conditionally process directives; supports regex match (~, ~*)."
set,"server,location,if,map",$var <value>,false,false,Set a variable to value/expression.
log_format,http,<name> <format>,false,false,Define named access log format using variables.
access_log,"http,server,location",off | <path> [format] [buffer=size] [gzip[=level]],false,false,Write request logs to file or disable.
open_file_cache,"http,server,location",off | max=<n> [inactive=<time>],false,false,Cache open file descriptors and cache entries.
open_file_cache_valid,"http,server,location",<time>,false,false,How long to consider open_file_cache entries valid.
open_file_cache_min_uses,"http,server,location",<number>,false,false,Minimum uses before caching a descriptor.
aio,"http,server,location",on | off | threads[=<pool>],false,false,Enable asynchronous I/O for file reads.
directio,"http,server,location",on | off | <size>,false,false,Use direct I/O for large files.
client_header_timeout,"http,server,location",<time>,false,false,Timeout for reading client request headers.
client_body_timeout,"http,server,location",<time>,false,false,Timeout for reading client request body.
client_header_buffer_size,"http,server,location",<size>,false,false,Buffer size for initial request line and headers.
large_client_header_buffers,"http,server,location",<n> <size>,false,false,Number and size of large header buffers.
ignore_invalid_headers,"http,server,location",on | off,false,false,Ignore non-standard headers in requests.
merge_slashes,"http,server,location",on | off,false,false,Merge adjacent slashes in URIs.
underscores_in_headers,"http,server,location",on | off,false,false,Allow/deny underscores in header names.
variables_hash_bucket_size,http,<size>,false,false,Hash bucket size for variables.
variables_hash_max_size,http,<size>,false,false,Max hash size for variables.
send_trailers,"http,server,location",on | off,false,false,Enable HTTP chunked trailers in responses.
gzip,"http,server,location",on | off,false,false,Enable gzip compression of responses.
gzip_comp_level,"http,server,location",1..9,false,false,Compression level for gzip.
gzip_min_length,"http,server,location",<length>,false,false,Minimum response size to compress.
gzip_types,"http,server,location",mime/type ...,false,false,MIME types to compress (text/html always included).
gzip_vary,"http,server,location",on | off,false,false,Add 'Vary: Accept-Encoding' header.
gzip_buffers,"http,server,location",<n> <size>,false,false,Number and size of compression buffers.
gzip_disable,"http,server,location",msie6 | <regex>,true,false,Disable gzip for matching user agents (regex allowed).
gzip_http_version,"http,server,location",1.0 | 1.1,false,false,Minimum HTTP version for gzip.
gzip_proxied,"http,server,location",off | expired | no-cache | no-store | private | ...,false,false,Enable compression for proxied responses meeting conditions.
gzip_static,"http,server,location",on | off | always,false,false,Serve precompressed *.gz files.
gunzip,"http,server,location",on | off,false,false,Enable on-the-fly decompression of gzip-encoded responses.
gunzip_buffers,"http,server,location",<n> <size>,false,false,Number and size of buffers for gunzip.
rewrite,"server,location,if",<regex> <replacement> [last|break|redirect|permanent],true,false,Rewrite URI using regex and flags.
break,"server,location,if",,false,false,Stop processing of rewrite directives in current request.
map,http,$var $source { ... },true,true,Create variable via mapping values/regex from source variables.
map_hash_bucket_size,http,<size>,false,false,Bucket size for map hash.
map_hash_max_size,http,<size>,false,false,Max size for map hash.
split_clients,http,<string> $var { ... },false,true,Distribute values among buckets for A/B testing etc.
geo,http,$var { ... },true,true,Define variable depending on client IP (supports ranges and default).
proxy_pass,"location,if in location,limit_except",<scheme>://<upstream>|<unix:> | <uri>,false,false,Define upstream to which requests are proxied.
proxy_set_header,"http,server,location",<header> <value>,false,false,Set/override header passed to upstream.
proxy_redirect,"http,server,location",off | default | <from> <to>,false,false,Rewrite 'Location'/'Refresh' headers from upstream.
proxy_http_version,"http,server,location",1.0 | 1.1,false,false,HTTP version used for proxying.
proxy_connect_timeout,"http,server,location",<time>,false,false,Timeout for establishing a connection to upstream.
proxy_send_timeout,"http,server,location",<time>,false,false,Timeout for sending a request to upstream.
proxy_read_timeout,"http,server,location",<time>,false,false,Timeout for reading a response from upstream.
proxy_buffering,"http,server,location",on | off,false,false,Enable response buffering from upstream.
proxy_buffers,"http,server,location",<n> <size>,false,false,Number and size of buffers for a single connection.
proxy_busy_buffers_size,"http,server,location",<size>,false,false,Size of buffers in busy state.
proxy_buffer_size,"http,server,location",<size>,false,false,Size of the buffer for the first part of response.
proxy_request_buffering,"http,server,location",on | off,false,false,Enable buffering of client request body.
proxy_max_temp_file_size,"http,server,location",<size>|0,false,false,Max size of temporary files when proxy_buffering is on.
proxy_temp_path,http,<path> [level1 [level2 [level3]]],false,false,Directory for temporary proxy files.
proxy_cache,"http,server,location",off | <zone>,false,false,Enable named cache zone for proxied responses.
proxy_cache_path,http,<path> keys_zone=<name>:<size> [inactive=<time>] [levels=...] ...,false,false,Define cache storage and parameters.
proxy_cache_key,"http,server,location",<string>,false,false,Key used to store cached responses.
proxy_cache_valid,"http,server,location",<code> <time> | any <time>,false,false,Default cache time by response code.
proxy_cache_bypass,"http,server,location",<condition> ...,false,false,Conditions to bypass cache (uses variables).
